segment_id,phase,model_best_phase,model_best_score,model_best_cluster,anomaly_score,is_anomaly
Dec 28 2025-a44e24-1766946994.81-1766947732.37-444-ab0aa3a117ea,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a3b414-1766857000.7-1766857764.28-309-3322c31f69d0,DEPARTURE,DEPARTURE,0.446140538725006,0.0,0.446140538725006,False
a48a8f-0-b081b3179897,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
acc7ae-0-9e4522a0ecb7,DEPARTURE,DEPARTURE,0.343972837277026,0.0,0.343972837277026,False
ab6851-0-a41024166463,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a7e509-0-f225da4fc77f,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a6fb2e-0-f21da845248d,DEPARTURE,DEPARTURE,0.3377038082361878,0.0,0.3377038082361878,False
Dec 27 2025-a600e4-1766806097.17-1766806928.76-3375-63d9bdd279ca,DEPARTURE,DEPARTURE,0.26936131667123314,0.0,0.26936131667123314,False
a7912a-0-19e31b881420,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a7de93-1766945217.72-1766945985.84-1744-477551d80535,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-0d09b9-1766870921.82-1766871668.53-2728-7f5cb6b4bc1c,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-478f43-1766799434.92-1766800239.79-960-970321b6e528,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
ac119d-0-e0a5e6d0abcd,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a597f2-0-c3ce42846cc3,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-ac668d-1766799638.71-1766800367.16-2035-62349cc65163,DEPARTURE,DEPARTURE,0.3536239578279642,0.0,0.3536239578279642,False
Dec 28 2025-abde0b-1766931176.87-1766932051.62-148-e06fc4972d05,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a0be05-1766937907.93-1766938887.61-79-4256fc8f0e63,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a87cbb-1766838531.46-1766839269.1-2781-5ccac733b890,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-acad53-1766851916.82-1766852817.78-1242-7942644e941d,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a557c3-0-b374f77da49c,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a15c01-1766848238.73-1766848956.44-18-fd5c494b0b24,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a39e6b-1766896884.5-1766897647.49-1254-2130aa173a71,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ac2952-1766965026.54-1766965863.36-980-b818d47ed6e6,DEPARTURE,DEPARTURE,0.2028068225626125,0.0,0.2028068225626125,False
Dec 27 2025-a7d6a8-1766842469.39-1766843284.33-2462-fcf81ac142b8,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ac30c0-1766895715.77-1766896429.91-2340-32d8308cfe09,DEPARTURE,DEPARTURE,0.23051890581850332,0.0,0.23051890581850332,False
ad4b54-0-374e25f5418d,DEPARTURE,DEPARTURE,0.3083889250808131,0.0,0.3083889250808131,False
a45592-0-df7458dccbab,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a4462e-1766883377.26-1766884139.43-561-f6ed08ce6045,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ac5ab7-1766891512.19-1766892419.6-2224-1dc4a7a880e6,DEPARTURE,DEPARTURE,0.2640447634501517,0.0,0.2640447634501517,False
a35d79-0-16355a8692f5,DEPARTURE,DEPARTURE,0.3352276281789308,0.0,0.3352276281789308,False
acd68a-0-a12e1c9765b6,DEPARTURE,DEPARTURE,0.3147404322429246,0.0,0.3147404322429246,False
Dec 29 2025-ada167-1767012718.93-1767013459.55-774-3492e70626f9,DEPARTURE,DEPARTURE,0.5904317340729754,0.0,0.5904317340729754,False
aa7abe-0-4fabeaeb1b9c,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-a402dd-1766899540.36-1766900282.3-2667-fb182ea02b94,DEPARTURE,DEPARTURE,0.3111720932209253,0.0,0.3111720932209253,False
Dec 27 2025-ad402f-1766874086.0-1766874787.22-673-13f25d75cdd7,DEPARTURE,DEPARTURE,0.22557328769968932,0.0,0.22557328769968932,False
Dec 28 2025-a486b3-1766932065.75-1766932740.98-2145-b1f2ea86dfd8,DEPARTURE,DEPARTURE,0.4671945669805651,0.0,0.4671945669805651,False
Dec 27 2025-a9cff8-1766870257.78-1766871080.99-3658-9ad089634c3e,DEPARTURE,DEPARTURE,0.31399178191784705,0.0,0.31399178191784705,False
Dec 28 2025-a21142-1766957702.43-1766958455.27-769-276c384a0c56,DEPARTURE,DEPARTURE,0.48870660848796293,0.0,0.48870660848796293,False
Dec 28 2025-ac7e60-1766930123.25-1766930932.11-1137-3fa90c774b4e,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
aaee43-0-8906057b67cf,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-aa9ad9-1766859520.86-1766860205.35-3205-efba5b0706b2,DEPARTURE,DEPARTURE,0.29947135725489377,0.0,0.29947135725489377,False
a3f04a-0-1987870d96eb,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a2afeb-1766843373.06-1766844085.66-3480-860b6c89a3ba,DEPARTURE,DEPARTURE,0.41530572347479866,0.0,0.41530572347479866,False
abca00-0-4a1bc1d4e6b6,DEPARTURE,DEPARTURE,0.34990357743950234,0.0,0.34990357743950234,False
a05514-0-1d79b4ff5e92,DEPARTURE,DEPARTURE,0.3309908467081638,0.0,0.3309908467081638,False
Dec 27 2025-acfc05-1766855335.29-1766856091.88-82-ea439a81e78b,DEPARTURE,DEPARTURE,0.37067845470217375,0.0,0.37067845470217375,False
ada16f-0-5e6a09e03465,DEPARTURE,DEPARTURE,0.4035599384061224,0.0,0.4035599384061224,False
Dec 27 2025-aaf111-1766854445.92-1766855174.39-253-d10248a575ae,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a32ee2-1766851410.25-1766852240.33-3343-e7936a7e33db,DEPARTURE,DEPARTURE,0.6639610212570651,0.0,0.6639610212570651,False
Dec 28 2025-ab5365-1766893730.42-1766894550.58-1187-b99c4a868090,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 27 2025-a8e279-1766797744.76-1766798432.65-1762-9ef1f0bd01d5,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a022c4-0-7251bf47de59,DEPARTURE,DEPARTURE,0.2970208359745818,0.0,0.2970208359745818,False
