phase,INITIAL_APPROACH,INTERMEDIATE_APPROACH,FINAL_APPROACH,DEPARTURE,ENROUTE_CLIMB
INITIAL_APPROACH,98.6,1.4,0.0,0.0,0.0
INTERMEDIATE_APPROACH,0.0,95.35,3.02,0.0,1.63
FINAL_APPROACH,0.0,26.99,73.01,0.0,0.0
DEPARTURE,0.0,0.0,0.0,100.0,0.0
ENROUTE_CLIMB,0.0,0.0,0.0,0.0,100.0
UNKNOWN,5.13,12.82,3.08,64.1,14.87
