phase,rows,predicted,coverage,agreement_when_predicted,agreement_all_phase_rows
ENROUTE_CLIMB,2572,2084,0.8102643856920684,0.980806142034549,0.7947122861586314
OUTER_ARRIVAL,2141,1122,0.5240541802895843,0.09090909090909091,0.04764128911723494
FINAL_ARRIVAL,2066,1823,0.8823814133591481,0.9199122325836533,0.8117134559535334
DEPARTURE,830,578,0.6963855421686747,0.773356401384083,0.5385542168674698
TERMINAL_ARRIVAL,484,402,0.8305785123966942,0.9601990049751243,0.7975206611570248
